Name;Organisation;Country;Pays;URL;Description;Location;Latitude;Longitude;Code En;Code Fr;Country Slug;Column 1;Column 9;Thematic;Portal typology;Column 14;Column 15;Column 16;Column 17;Code Es
Washington County, Or - Gis & Cartography;United States;United States;Etats-Unis;http://www.co.washington.or.us/AssessmentTaxation/GISCartography;;45.56,-123.09;45.56;-123.09;United States - Washington County, Or - Gis & Cartography;Etats-Unis - Washington County, Or - Gis & Cartography;united-states;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - Washington County, Or - Gis & Cartography
Washington State Geo Services;Washington State Geo Services;United States;Etats-Unis;http://geo.wa.gov;Arcgis OpenData Portal;47.3674536791,-120.9075;47.36745368;-120.9075;United States - Washington State Geo Services;Etats-Unis - Washington State Geo Services;united-states;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - Washington State Geo Services
Washington Transparency;United States;United States;Etats-Unis;http://fiscal.wa.gov;;47.0358,-122.9047;47.0358;-122.9047;United States - Washington Transparency;Etats-Unis - Washington Transparency;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Washington Transparency
West Berkshire Council;West Berkshire Council;United Kingdom;Royaume-Uni;http://data.westberks.opendata.arcgis.com;Arcgis OpenData Portal;51.4382629696,-1.28050184624;51.43826297;-1.280501846;United Kingdom - West Berkshire Council;Royaume-Uni - West Berkshire Council;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Reino Unido - West Berkshire Council
Windsor, On Open Data;Canada;Canada;Canada;http://citywindsor.ca/opendata;;42.2833,-83.0;42.2833;-83;Canada - Windsor, On Open Data;Canada - Windsor, On Open Data;canada;;;Local Government;Public Sector, Local Level;;;;;Canadá - Windsor, On Open Data
Ministry of Investments and Foreign Trade of the Republic of Uzbekistan;Ministry of Investments and Foreign Trade of the Republic of Uzbekistan;Uzbekistan;Ouzbékistan;https://www.mift.uz/en/opendata;;41.3056504,69.2768642;41.3056504;69.2768642;Uzbekistan - Ministry of Investments and Foreign Trade of the Republic of Uzbekistan;Ouzbékistan - Ministry of Investments and Foreign Trade of the Republic of Uzbekistan;uzbekistan;2019-12-11T07:14:41-05:00;info@mift.uz;Economy;Public Sector, National Level;;;;;pais - Ministry of Investments and Foreign Trade of the Republic of Uzbekistan
STATE TAX COMMITTEE OF THE REPUBLIC OF UZBEKISTAN;STATE TAX COMMITTEE OF THE REPUBLIC OF UZBEKISTAN;Uzbekistan;Ouzbékistan;https://www.soliq.uz/other/open-committee-data?lang=ru;;41.3246971,69.2531889;41.3246971;69.2531889;Uzbekistan - STATE TAX COMMITTEE OF THE REPUBLIC OF UZBEKISTAN;Ouzbékistan - STATE TAX COMMITTEE OF THE REPUBLIC OF UZBEKISTAN;uzbekistan;2019-12-11T08:09:10-05:00;org@soliq.uz;Economy;Public Sector, National Level;;;;;pais - STATE TAX COMMITTEE OF THE REPUBLIC OF UZBEKISTAN
"""SANOAT QURILISH BANK""";"""SANOAT QURILISH BANK""";Uzbekistan;Ouzbékistan;https://uzpsb.uz/uz/otkritie-dannie;;41.297954,69.270739;41.297954;69.270739;"Uzbekistan - ""SANOAT QURILISH BANK""";"Ouzbékistan - ""SANOAT QURILISH BANK""";uzbekistan;2020-07-29T17:22:37-04:00;info@uzpsb.uz;Economy;;;;;;"pais - ""SANOAT QURILISH BANK"""
Portal Datos Abiertos del MINHAP;Ministerio de Hacienda y Administraciones Públicas;Spain;Espagne;http://www.minhap.gob.es/es-ES/Datos%20Abiertos/Paginas/Datosabiertos.aspx;Hacienda, Legislación y Justicia, Sector Público, Sociedad y Bienestar;40.4612299,-3.6902579;40.4612299;-3.6902579;Spain - Portal Datos Abiertos del MINHAP;Espagne - Portal Datos Abiertos del MINHAP;spain;;;Statistics,Administration;Public Sector, National Level;;;;;España - Portal Datos Abiertos del MINHAP
La Palma open data;Cabildo Insular de La Palma;Spain;Espagne;http://www.opendatalapalma.es;Medio Ambiente, Urbanismo e Infraestructuras, Medio Rural, Turismo, Transporte, Cultura y Ocio, Sociedad y Bienestar;28.6814262,-17.765657;28.6814262;-17.765657;Spain - La Palma open data;Espagne - La Palma open data;spain;;;Local Government;Public Sector, Local Level;;;;;España - La Palma open data
Dades Obertes Ajuntament de Girona;Ajuntament de Girona;Spain;Espagne;http://www.girona.cat/sgdap/cat/dades_obertes_catalegs.php;;41.9818,2.8237;41.9818;2.8237;Spain - Dades Obertes Ajuntament de Girona;Espagne - Dades Obertes Ajuntament de Girona;spain;;;Local Government;Public Sector, Local Level;;;;;España - Dades Obertes Ajuntament de Girona
Portal de Datos Abiertos del Ayuntamiento de Alhaurín de la Torre;Ayuntamiento de Alhaurín de la Torre;Spain;Espagne;http://transparencia.alhaurindelatorre.es/dataset;;36.66836,-4.552967;36.66836;-4.552967;Spain - Portal de Datos Abiertos del Ayuntamiento de Alhaurín de la Torre;Espagne - Portal de Datos Abiertos del Ayuntamiento de Alhaurín de la Torre;spain;;;Local Government;Public Sector, Local Level;;;;;España - Portal de Datos Abiertos del Ayuntamiento de Alhaurín de la Torre
Ayuntamiento de Valdemorales - Open Data;Ayuntamiento de Valdemorales;Spain;Espagne;http://www.valdemorales.es/open-data;;39.205671,-6.065278;39.205671;-6.065278;Spain - Ayuntamiento de Valdemorales - Open Data;Espagne - Ayuntamiento de Valdemorales - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Valdemorales - Open Data
Ayuntamiento de Abertura - Open Data;Ayuntamiento de Abertura;Spain;Espagne;http://www.abertura.es/open-data;;39.243989,-5.813161;39.243989;-5.813161;Spain - Ayuntamiento de Abertura - Open Data;Espagne - Ayuntamiento de Abertura - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Abertura - Open Data
Ayuntamiento de Navalvillar de Ibor - Open Data;Ayuntamiento de Navalvillar de Ibor - Open Data;Spain;Espagne;http://www.navalvillardeibor.es/open-data;;39.585072,-5.413292;39.585072;-5.413292;Spain - Ayuntamiento de Navalvillar de Ibor - Open Data;Espagne - Ayuntamiento de Navalvillar de Ibor - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Navalvillar de Ibor - Open Data
Ayuntamiento de Higuera - Open Data;Ayuntamiento de Higuera - Open Data;Spain;Espagne;http://www.higuera.es/open-data;;39.72414,-5.667379;39.72414;-5.667379;Spain - Ayuntamiento de Higuera - Open Data;Espagne - Ayuntamiento de Higuera - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Higuera - Open Data
Ayuntamiento de Belbís de Monroy - Open Data;Ayuntamiento de Belbís de Monroy - Open Data;Spain;Espagne;http://www.belvisdemonroy.es/open-data;;39.819394,-5.610245;39.819394;-5.610245;Spain - Ayuntamiento de Belbís de Monroy - Open Data;Espagne - Ayuntamiento de Belbís de Monroy - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Belbís de Monroy - Open Data
Ayuntamiento de Mirabel - Open Data;Ayuntamiento de Mirabel;Spain;Espagne;http://www.mirabel.es/open-data;;39.861876,-6.233656;39.861876;-6.233656;Spain - Ayuntamiento de Mirabel - Open Data;Espagne - Ayuntamiento de Mirabel - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Mirabel - Open Data
Ayuntamiento de Torrecilla de los Ángeles - Open Data;Ayuntamiento de Torrecilla de los Ángeles;Spain;Espagne;http://www.torrecilladelosangeles.es/open-data;;40.248021,-6.418642;40.248021;-6.418642;Spain - Ayuntamiento de Torrecilla de los Ángeles - Open Data;Espagne - Ayuntamiento de Torrecilla de los Ángeles - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Torrecilla de los Ángeles - Open Data
Ayuntamiento de Casas del Monte - Open Data;Ayuntamiento de Casas del Monte;Spain;Espagne;http://www.casasdelmonte.es/open-data;;40.202608,-5.960963;40.202608;-5.960963;Spain - Ayuntamiento de Casas del Monte - Open Data;Espagne - Ayuntamiento de Casas del Monte - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Casas del Monte - Open Data
Ayuntamiento de Segura de Toro - Open Data;Ayuntamiento de Segura de Toro;Spain;Espagne;http://www.seguradetoro.es/open-data;;40.224596,-5.949268;40.224596;-5.949268;Spain - Ayuntamiento de Segura de Toro - Open Data;Espagne - Ayuntamiento de Segura de Toro - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Segura de Toro - Open Data
Ayuntamiento de Abadía - Open Data;Ayuntamiento de Abadía;Spain;Espagne;http://www.abadia.es/open-data;;40.259704,-5.977734;40.259704;-5.977734;Spain - Ayuntamiento de Abadía - Open Data;Espagne - Ayuntamiento de Abadía - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Abadía - Open Data
Ayuntamiento de Valverde de la Vera - Open Data;Ayuntamiento de Valverde de la Vera;Spain;Espagne;http://www.valverdedelavera.es/open-data;;40.122082,-5.497792;40.122082;-5.497792;Spain - Ayuntamiento de Valverde de la Vera - Open Data;Espagne - Ayuntamiento de Valverde de la Vera - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Valverde de la Vera - Open Data
Open Data del Principado de Asturias;Gobierno del Principado de Asturias;Spain;Espagne;https://www.asturias.es/portal/site/webasturias/menuitem.7b2ff7592927f53571a70084ec12b2a0/?vgnextoid=2cab7cd61f918510VgnVCM100000ce212b0aRCRD&i18n.http.lang=es;Ciencia y tecnología, Comercio, Cultura y Ocio, Deporte, Economía, Educación, Empleo, Energía, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda;43.3634413,-5.84672879;43.3634413;-5.84672879;Spain - Open Data del Principado de Asturias;Espagne - Open Data del Principado de Asturias;spain;;;Local Government;Public Sector, Local Level;;;;;España - Open Data del Principado de Asturias
Gobierno abierto Ayuntamiento de Cuenca;Ayuntamiento de Cuenca;Spain;Espagne;http://gobiernoabierto.cuenca.es/default.aspx?tabid=25545;;40.070339,-2.136024;40.070339;-2.136024;Spain - Gobierno abierto Ayuntamiento de Cuenca;Espagne - Gobierno abierto Ayuntamiento de Cuenca;spain;;;Local Government;Public Sector, Local Level;;;;;España - Gobierno abierto Ayuntamiento de Cuenca
Catálogo de datos abiertos del Ayuntamiento de San Bartolomé de Tirajana;Ayuntamiento de San Bartolomé de Tirajana;Spain;Espagne;https://eadmin.maspalomas.com/publico/opendata/catalogo;Demografía;27.92461,-15.573;27.92461;-15.573;Spain - Catálogo de datos abiertos del Ayuntamiento de San Bartolomé de Tirajana;Espagne - Catálogo de datos abiertos del Ayuntamiento de San Bartolomé de Tirajana;spain;;;Local Government;Public Sector, Local Level;;;;;España - Catálogo de datos abiertos del Ayuntamiento de San Bartolomé de Tirajana
Ayuntamiento de Garciaz - Open Data;Ayuntamiento de Garciaz;Spain;Espagne;http://www.garciaz.es/open-data;;39.41326,-5.627469;39.41326;-5.627469;Spain - Ayuntamiento de Garciaz - Open Data;Espagne - Ayuntamiento de Garciaz - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Garciaz - Open Data
Ayuntamiento de Cachorrilla - Open Data;Ayuntamiento de Cachorrilla;Spain;Espagne;http://www.cachorrilla.es/open-data;;39.915726,-6.669565;39.915726;-6.669565;Spain - Ayuntamiento de Cachorrilla - Open Data;Espagne - Ayuntamiento de Cachorrilla - Open Data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Ayuntamiento de Cachorrilla - Open Data
Langreo open data;Ayuntamiento de Langreo;Spain;Espagne;https://www.langreo.as/participa/langreo-open-data;;43.295731,-5.684033;43.295731;-5.684033;Spain - Langreo open data;Espagne - Langreo open data;spain;;;Local Government;Public Sector, Local Level;;;;;España - Langreo open data
Adur;Adur;United Kingdom;Royaume-Uni;http://www.adur-worthing.gov.uk/about-the-councils/open-data;;50.8460039,-0.3284517;50.8460039;-0.3284517;United Kingdom - Adur;Royaume-Uni - Adur;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Reino Unido - Adur
African Development Bank Group Open Data;Libya;Libya;Libye;http://libya.opendataforafrica.org;;27.0,17.0;27;17;Libya - African Development Bank Group Open Data;Libye - African Development Bank Group Open Data;libya;;;Economy,Administration,Statistics;Public Sector, National Level;;;;;Libia - African Development Bank Group Open Data
Algemeen Bureau Voor De Statistiek;Suriname;Suriname;Suriname;http://statistics-suriname.org;;5.8333,-55.1667;01/05/8333;-55.1667;Suriname - Algemeen Bureau Voor De Statistiek;Suriname - Algemeen Bureau Voor De Statistiek;suriname;;;Statistics;Public Sector, National Level;;;;;Surinám - Algemeen Bureau Voor De Statistiek
Bassetlaw;Bassetlaw;United Kingdom;Royaume-Uni;http://data.bassetlaw.gov.uk;;53.3495503,-1.1201654;53.3495503;-1.1201654;United Kingdom - Bassetlaw;Royaume-Uni - Bassetlaw;united-kingdom;;;Local Government;Public Sector, Local Level;;;;;Reino Unido - Bassetlaw
Berlin Open Data;Berliner Senatsverwaltung Für Wirtschaft, Technologie Und Frauen;Germany;Allemagne;http://daten.berlin.de;Official open data catalog of the Senate of Berlin.;52.5243681651,13.4105300903;52.52436817;13.41053009;Germany - Berlin Open Data;Allemagne - Berlin Open Data;germany;;;Local Government;Public Sector, Local Level;;;;;Alemania - Berlin Open Data
Bureau Of Statistics;Fiji;Fiji;Fidji;http://www.statsfiji.gov.fj;;-18.0,179.0;-18;179;Fiji - Bureau Of Statistics;Fidji - Bureau Of Statistics;fiji;;;Statistics;Public Sector, National Level;;;;;Fiyi - Bureau Of Statistics
California Department Of Public Health Open Data;United States;United States;Etats-Unis;http://health.data.ca.gov;;38.55556,-121.46889;38.55556;-121.46889;United States - California Department Of Public Health Open Data;Etats-Unis - California Department Of Public Health Open Data;united-states;;;Health;Public Sector, Local Level;;;;;Estados Unidos de América - California Department Of Public Health Open Data
Cascais Data;Municipality (Local Goverment);Portugal;Portugal;https://data.cascais.pt/pt-pt/node/253;Environment and Energy, Economy, Education, Governance, Culture and Sports, Mobility, Population and Society, Health, Security, Territory;38.6995678,-9.4179048;38.6995678;-9.4179048;Portugal - Cascais Data;Portugal - Cascais Data;portugal;;;Local Government;Public Sector, Local Level;;;;;Cascais Data
Central Statistical Office;Zambia;Zambia;Zambie;http://www.zamstats.gov.zm;;-15.4167,28.2833;-15.4167;28.2833;Zambia - Central Statistical Office;Zambie - Central Statistical Office;zambia;;;Statistics;Public Sector, National Level;;;;;Zambia - Central Statistical Office
City of Rockville,MD,Open Data;City of Rockville,MD,Open Data;United States;Etats-Unis;http://data.rockvillemd.opendata.arcgis.com;Arcgis OpenData Portal;39.0835304084,-77.1465;39.08353041;-77.1465;United States - City of Rockville,MD,Open Data;Etats-Unis - City of Rockville,MD,Open Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - City of Rockville,MD,Open Data
Copernicus Marine Environment Monitoring Service;European Commission;Belgium;Belgique;http://marine.copernicus.eu;Marine;50.8522378,4.3639569;50.8522378;4.3639569;Belgium - Copernicus Marine Environment Monitoring Service;Belgique - Copernicus Marine Environment Monitoring Service;belgium;;;Environment,Geospatial;Public Sector, International Level;;;;;Copernicus Marine Environment Monitoring Service
Danish Meteorological Institute;Denmark;Denmark;Danemark;http://dmi.dk;;55.72,12.57;55.72;12.57;Denmark - Danish Meteorological Institute;Danemark - Danish Meteorological Institute;denmark;;;Weather Forecast;Public Sector, National Level;;;;;Dinamarca - Danish Meteorological Institute
Data Dot Ug;Uganda;Uganda;Ouganda;http://data.ug;;1.0667,31.8833;01/01/0667;31.8833;Uganda - Data Dot Ug;Ouganda - Data Dot Ug;uganda;;;Administration,Statistics,Economy;Public Sector, National Level;;;;;Uganda - Data Dot Ug
Datos Abiertos Santa Fe;Gobierno de la provincia de Santa Fe;Argentina;Argentine;https://www.santafe.gob.ar/datosabiertos;;-31.657969,-60.710642;-31.657969;-60.710642;Argentina - Datos Abiertos Santa Fe;Argentine - Datos Abiertos Santa Fe;argentina;;;Local Government;Public Sector, Local Level;;;;;Datos Abiertos Santa Fe
Geodata Vicenza;Comune Di Vicenza;Italy;Italie;http://www.comune.vicenza.it/servizi/opendata/opendata.php;geodata of Vicenza city;45.557294,11.540898;45.557294;11.540898;Italy - Geodata Vicenza;Italie - Geodata Vicenza;italy;;;Local Government;Public Sector, Local Level;;;;;Italia - Geodata Vicenza
Géonormandie;Conseil Régional Normandie SIG;France;France;http://www.geonormandie.fr/accueil;Géonormandie;49.182863,-0.3706789;49.182863;-0.3706789;France - Géonormandie;France - Géonormandie;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Géonormandie
Grand Poitiers Open Data;Communauté d'agglomération de Poitiers;France;France;https://data.grandpoitiers.fr;Référentiels géographiques , Citoyenneté, Aménagement, Démographie, Economie, Mobilité : Environnement, Santé , Social,  Scolaire, Sports, Loisirs, Culture,Tourisme;46.5846126,0.3014297;46.5846126;0.3014297;France - Grand Poitiers Open Data;France - Grand Poitiers Open Data;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Grand Poitiers Open Data
Granollers;Granollers;Spain;Espagne;https://opendata.granollers.cat;;41.6062167,2.2703413;41.6062167;2.2703413;Spain - Granollers;Espagne - Granollers;spain;;;Local Government;Public Sector, Local Level;;;;;España - Granollers
Greater New Haven Data Portal;United States;United States;Etats-Unis;http://ctdatahaven.org;;41.31,-72.9236;41.31;-72.9236;United States - Greater New Haven Data Portal;Etats-Unis - Greater New Haven Data Portal;united-states;;;Local Government;Others (Associations, Universities);;;;;Estados Unidos de América - Greater New Haven Data Portal
Greater Portland - Regional Data;United States;United States;Etats-Unis;http://greaterportlandinc.com/regional-data;;45.52,-122.6819;45.52;-122.6819;United States - Greater Portland - Regional Data;Etats-Unis - Greater Portland - Regional Data;united-states;;;Local Government;Public Sector, Local Level;;;;;Estados Unidos de América - Greater Portland - Regional Data
Haute-Bretagne Ille-et-Vilaine;CDT Haute-Bretagne Ille-et-Vilaine;France;France;http://www.data-tourisme-hautebretagne.com;;48.1094631,-1.6795618;48.1094631;-1.6795618;France - Haute-Bretagne Ille-et-Vilaine;France - Haute-Bretagne Ille-et-Vilaine;france;;;Local Government;Public Sector, Local Level;;;;;Francia - Haute-Bretagne Ille-et-Vilaine
Health Resources And Services Administration;United States;United States;Etats-Unis;http://datawarehouse.hrsa.gov/data/data.aspx;;38.8951,-77.0367;38.8951;-77.0367;United States - Health Resources And Services Administration;Etats-Unis - Health Resources And Services Administration;united-states;;;Health,Administration;Public Sector, National Level;;;;;Estados Unidos de América - Health Resources And Services Administration
HUD Zillow Hackathon Open Data;HUD Zillow Hackathon Open Data;United States;Etats-Unis;http://zillowhack.hud.opendata.arcgis.com;Arcgis OpenData Portal;47.6050305533,-122.33825285;47.60503055;-122.3382529;United States - HUD Zillow Hackathon Open Data;Etats-Unis - HUD Zillow Hackathon Open Data;united-states;;;Economy;Business;;;;;Estados Unidos de América - HUD Zillow Hackathon Open Data
Idaho Geospatial Office;United States;United States;Etats-Unis;http://gis.idaho.gov;;43.61667,-116.2;43.61667;-116.2;United States - Idaho Geospatial Office;Etats-Unis - Idaho Geospatial Office;united-states;;;Local Government,Geospatial;Public Sector, Local Level;;;;;Estados Unidos de América - Idaho Geospatial Office
Infocom 94;INFOCOM'94;France;France;https://data.infocom94.fr;;48.7897081,2.5081199;48.7897081;2.5081199;France - Infocom 94;France - Infocom 94;france;;;Local Government;Public Sector, Local Level;;;;;Infocom 94
Institut National De La Statistique Et De La Demographie;Burkina Faso;Burkina Faso;Burkina Faso;http://insd.bf;;12.3333,-1.6667;01/12/3333;-1.6667;Burkina Faso - Institut National De La Statistique Et De La Demographie;Burkina Faso - Institut National De La Statistique Et De La Demographie;burkina-faso;;;Statistics;Public Sector, National Level;;;;;Burkina Faso - Institut National De La Statistique Et De La Demographie
Israel Government Portal Open Data;Israel;Israel;Israël;http://data.gov.il;;31.0,35.0;31;35;Israel - Israel Government Portal Open Data;Israël - Israel Government Portal Open Data;israel;;;Statistics,Economy,Administration;Public Sector, National Level;;;;;Israel - Israel Government Portal Open Data
Jackson County Open Data Portal;Jackson County Oregon;United States;Etats-Unis;http://gis.jacksoncounty.org;Boundaries, Demographics, Environment, Infrastructure, Development;42.3435662,-122.9141649;42.3435662;-122.9141649;United States - Jackson County Open Data Portal;Etats-Unis - Jackson County Open Data Portal;united-states;;;Local Government;Public Sector, Local Level;;;;;Jackson County Open Data Portal
Kentucky Geological Survey;United States;United States;Etats-Unis;http://www.uky.edu/KGS;;38.02972,-84.49472;38.02972;-84.49472;United States - Kentucky Geological Survey;Etats-Unis - Kentucky Geological Survey;united-states;;;Environment;Public Sector, Local Level;;;;;Estados Unidos de América - Kentucky Geological Survey
